ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3856.46,4966,2560.5,4688.62,4411.23,4133.85,3856.46
8309.T,3958.27,4585,2828,4428.32,4271.63,4114.95,3958.27
7182.T,1642.21,1990,1161.5,1903.05,1816.11,1729.16,1642.21
