ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
3472.T,75800,73895,85000,61100,82223.75,79447.5,76671.25,73895,T3,1.1,RISK_ON,all_T
8976.T,369500,335367,391000,272000,377091.75,363183.5,349275.25,335367,T2,-1.7,RISK_ON,all_T
8961.T,76600,70596,80200,59400,77799,75398,72997,70596,T1,1.6,RISK_ON,all_T
3295.T,175100,158911.5,178500,135200,173602.88,168705.75,163808.63,158911.5,T1,-0.9,RISK_ON,all_T
3249.T,149600,127387,151700,110900,145621.75,139543.5,133465.25,127387,T1,-2.7,RISK_ON,all_T
8958.T,139100,133182,150000,98700,145795.5,141591,137386.5,133182,T3,-1.2,RISK_ON,all_T
