ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
8316.T,4147,3726.32,4268,2560.5,4132.58,3997.16,3861.74,3726.32,T1,-0.3,RISK_ON,all_T
8309.T,4284,3820.18,4373,2828,4234.8,4096.59,3958.39,3820.18,T1,-1.1,RISK_ON,all_T
7182.T,1793,1574.75,1932.5,1161.5,1843.06,1753.63,1664.19,1574.75,T2,-2.2,RISK_ON,all_T
