ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3756.18,4270,2560.5,4141.55,4013.09,3884.64,3756.18
8309.T,3860.31,4386,2828,4254.58,4123.16,3991.73,3860.31
7182.T,1600.37,1932.5,1161.5,1849.47,1766.44,1683.4,1600.37
