ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3772.69,4270,2560.5,4145.67,4021.35,3897.02,3772.69
8309.T,3884.04,4386,2828,4260.51,4135.02,4009.53,3884.04
7182.T,1611.88,1932.5,1161.5,1852.34,1772.19,1692.03,1611.88
