docID,submitted_at,edinet_code,ticker,filer,doc_type,doc_title,period_from,period_to,url
S100WNRO,2025-09-16 09:00,E12448,,??????????????????,180,???????????????,,,
S100WOT3,2025-09-16 09:00,E35589,,???????????????????,220,????????????????????????????,,,
S100WLNF,2025-09-16 09:00,E12444,,???????????????????????,120,?????????????????????21?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WDCS,2025-09-16 09:01,E12566,,??????????????????????,120,?????????????????????35?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WK23,2025-09-16 09:01,E26491,,????????????????,160,???????????????????3?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WDCR,2025-09-16 09:01,E12566,,??????????????????????,030,???????????????????,,,
S100WNH8,2025-09-16 09:02,E10677,,?????????????????,120,?????????????????????35?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WM7L,2025-09-16 09:02,E06748,,????????????????,120,?????????????????????4?(2024/12/24?2025/06/23),2024-12-24,2025-06-23,
S100WEX8,2025-09-16 09:02,E12444,,???????????????????????,120,?????????????????????39?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WK2A,2025-09-16 09:03,E26491,,????????????????,030,???????????????????,,,
S100WNKO,2025-09-16 09:03,E10677,,?????????????????,160,???????????????????8?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WNH7,2025-09-16 09:03,E10677,,?????????????????,030,???????????????????,,,
S100WNJI,2025-09-16 09:03,E13447,,?????????????????,160,???????????????????11?(2024/12/17?2025/12/16),2024-12-17,2025-12-16,
S100WNHC,2025-09-16 09:04,E10677,,?????????????????,030,???????????????????,,,
S100WEX7,2025-09-16 09:04,E12444,,???????????????????????,030,???????????????????,,,
S100WNHO,2025-09-16 09:05,E10677,,?????????????????,120,?????????????????????7?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WL8Y,2025-09-16 09:05,E14714,,????????????????????,160,???????????????????4?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WDD9,2025-09-16 09:05,E12425,,??????????????????????,120,?????????????????????3?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WM7M,2025-09-16 09:06,E06748,,????????????????,030,???????????????????,,,
S100WNHF,2025-09-16 09:06,E10677,,?????????????????,030,???????????????????,,,
S100WDD8,2025-09-16 09:06,E12425,,??????????????????????,030,???????????????????,,,
