docID,submitted_at,edinet_code,ticker,filer,doc_type,doc_title,period_from,period_to,url
S100WMC4,2025-09-16 09:06,E26704,,?????????????????,120,?????????????????????23?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WLND,2025-09-16 09:06,E12444,,???????????????????????,030,???????????????????,,,
S100WL92,2025-09-16 09:07,E14714,,????????????????????,040,?????????????????????,,,
S100WMC5,2025-09-16 09:07,E26704,,?????????????????,040,?????????????????????,,,
S100WJX0,2025-09-16 09:07,E12444,,???????????????????????,180,???????????????,,,
S100WOVQ,2025-09-16 09:08,E03753,,??????????????,235,?????????88?(2024/04/01?2025/03/31),,,
S100WMC6,2025-09-16 09:08,E26704,,?????????????????,120,?????????????????????25?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WDFE,2025-09-16 09:08,E15787,,????????????,120,?????????????????????16?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WEU9,2025-09-16 09:09,E12444,,???????????????????????,180,???????????????,,,
S100WJX5,2025-09-16 09:09,E12444,,???????????????????????,180,???????????????,,,
S100WDFC,2025-09-16 09:09,E15787,,????????????,030,???????????????????,,,
S100WMC7,2025-09-16 09:09,E26704,,?????????????????,040,?????????????????????,,,
S100WDFH,2025-09-16 09:09,E15787,,????????????,120,?????????????????????15?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WJX9,2025-09-16 09:10,E12444,,???????????????????????,180,???????????????,,,
S100WA4O,2025-09-16 09:10,E12441,,???????????????????,120,?????????????????????24?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,
S100WDFF,2025-09-16 09:10,E15787,,????????????,030,???????????????????,,,
S100WDFK,2025-09-16 09:11,E15787,,????????????,120,?????????????????????10?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WI51,2025-09-16 09:11,E11518,,???????????????????,120,?????????????????????45?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,
S100WDFI,2025-09-16 09:11,E15787,,????????????,030,???????????????????,,,
S100WJIE,2025-09-16 09:11,E06458,,????????????????????,120,?????????????????????34?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WK1B,2025-09-16 09:11,E06748,,????????????????,040,?????????????????????,,,
S100WI53,2025-09-16 09:12,E11518,,???????????????????,040,?????????????????????,,,
S100WJ7V,2025-09-16 09:12,E31533,,???????????????????????,120,?????????????????????18?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WDFN,2025-09-16 09:12,E15787,,????????????,120,?????????????????????1?(2024/09/18?2025/06/16),2024-09-18,2025-06-16,
S100WJ7Q,2025-09-16 09:13,E31533,,???????????????????????,030,???????????????????,,,
S100WDFM,2025-09-16 09:13,E15787,,????????????,030,???????????????????,,,
S100WNJ5,2025-09-16 09:13,E13447,,?????????????????,030,???????????????????,,,
S100WA4J,2025-09-16 09:13,E12441,,???????????????????,030,???????????????????,,,
S100WDFO,2025-09-16 09:14,E15787,,????????????,120,?????????????????????1?(2025/03/18?2025/06/16),2025-03-18,2025-06-16,
S100WNT8,2025-09-16 09:15,E12481,,????????????,180,???????????????,,,
S100WNGS,2025-09-16 09:15,E15787,,????????????,040,?????????????????????,,,
S100WLAN,2025-09-16 09:15,E09666,,??????????????,120,?????????????????????39?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WESE,2025-09-16 09:15,E12444,,???????????????????????,180,???????????????,,,
S100WDUO,2025-09-16 09:17,E35304,,????????????????????,160,???????????????????6?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WLAQ,2025-09-16 09:17,E09666,,??????????????,030,???????????????????,,,
S100WIY0,2025-09-16 09:18,E12492,,??????????????????,160,???????????????????1?(2024/12/18?2025/12/15),2024-12-18,2025-12-15,
S100WEUC,2025-09-16 09:18,E12444,,???????????????????????,180,???????????????,,,
S100WDUQ,2025-09-16 09:18,E35304,,????????????????????,030,???????????????????,,,
S100WMV4,2025-09-16 09:20,E09096,,????????????????,180,???????????????,,,
S100WD98,2025-09-16 09:20,E12430,,????????????????????,160,???????????????????25?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WD97,2025-09-16 09:21,E12430,,????????????????????,030,???????????????????,,,
S100WOOT,2025-09-16 09:22,E40778,,??????,350,???????,,,
S100WD9A,2025-09-16 09:22,E12430,,????????????????????,120,?????????????????????37?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WD99,2025-09-16 09:23,E12430,,????????????????????,030,???????????????????,,,
S100WLBK,2025-09-16 09:23,E09666,,??????????????,160,???????????????????2?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WOID,2025-09-16 09:24,E01950,,???????????,220,????????????????????????????,,,
S100WD9D,2025-09-16 09:24,E12430,,????????????????????,160,???????????????????25?(2024/12/17?2025/12/15),2024-12-17,2025-12-15,
S100WOBE,2025-09-16 09:25,E15034,,???????????????????????????????????,160,???????????????????1?(2024/12/17?2025/10/31),2024-12-17,2025-10-31,
S100WD9B,2025-09-16 09:25,E12430,,????????????????????,030,???????????????????,,,
S100WD9F,2025-09-16 09:26,E12430,,????????????????????,120,?????????????????????24?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WD9E,2025-09-16 09:27,E12430,,????????????????????,030,???????????????????,,,
S100WNHB,2025-09-16 09:27,E10677,,?????????????????,120,?????????????????????39?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WD9H,2025-09-16 09:28,E12430,,????????????????????,120,?????????????????????43?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WNH9,2025-09-16 09:28,E10677,,?????????????????,030,???????????????????,,,
S100WNX1,2025-09-16 09:29,E13343,,???????????????????????????????,120,?????????????????????7?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WD9G,2025-09-16 09:29,E12430,,????????????????????,030,???????????????????,,,
S100WNX5,2025-09-16 09:29,E13343,,???????????????????????????????,030,???????????????????,,,
S100WDD5,2025-09-16 09:30,E12430,,????????????????????,120,?????????????????????42?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WDCZ,2025-09-16 09:31,E12430,,????????????????????,030,???????????????????,,,
S100WDDE,2025-09-16 09:32,E12430,,????????????????????,120,?????????????????????40?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WIY7,2025-09-16 09:32,E12492,,??????????????????,040,?????????????????????,,,
S100WLBM,2025-09-16 09:32,E09666,,??????????????,030,???????????????????,,,
S100WDDB,2025-09-16 09:32,E12430,,????????????????????,030,???????????????????,,,
S100WDDH,2025-09-16 09:33,E12430,,????????????????????,120,?????????????????????26?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WO4D,2025-09-16 09:33,E08778,,????,360,????????????????????,,,
S100WDDG,2025-09-16 09:34,E12430,,????????????????????,030,???????????????????,,,
S100WDDN,2025-09-16 09:35,E12430,,????????????????????,120,?????????????????????25?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WDDJ,2025-09-16 09:35,E12430,,????????????????????,030,???????????????????,,,
S100WO57,2025-09-16 09:38,E08778,,????,350,?????,,,
S100WDDT,2025-09-16 09:38,E12430,,????????????????????,120,?????????????????????13?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WOB8,2025-09-16 09:39,E15034,,???????????????????????????????????,040,?????????????????????,,,
S100WDDR,2025-09-16 09:39,E12430,,????????????????????,030,???????????????????,,,
S100WDDX,2025-09-16 09:40,E12430,,????????????????????,120,?????????????????????2?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WDDV,2025-09-16 09:41,E12430,,????????????????????,030,???????????????????,,,
S100WJAT,2025-09-16 09:41,E12492,,??????????????????,120,?????????????????????16?(2024/06/18?2025/06/17),2024-06-18,2025-06-17,
S100WDE4,2025-09-16 09:42,E12430,,????????????????????,120,?????????????????????2?(2024/06/18?2025/06/16),2024-06-18,2025-06-16,
S100WDE0,2025-09-16 09:43,E12430,,????????????????????,030,???????????????????,,,
S100WDEA,2025-09-16 09:44,E12430,,????????????????????,120,?????????????????????3?(2024/12/17?2025/06/16),2024-12-17,2025-06-16,
S100WDE7,2025-09-16 09:45,E12430,,????????????????????,030,???????????????????,,,
S100WJB0,2025-09-16 09:48,E12492,,??????????????????,030,???????????????????,,,
S100WOBH,2025-09-16 09:57,E15034,,???????????????????????????????????,030,???????????????????,,,
S100WOLL,2025-09-16 10:04,E41017,,??????????,360,????????????????????,,,
S100WNKR,2025-09-16 10:04,E05617,,????????,220,????????????????????????????,,,
S100WOCS,2025-09-16 10:13,E00208,,???????,160,???????68?(2025/02/01?2026/01/31),2025-02-01,2026-01-31,
S100WODS,2025-09-16 10:13,E00208,,???????,135,???,,,
S100WOUL,2025-09-16 10:17,E40136,,??????????,040,???????????????,,,
S100WO2G,2025-09-16 10:20,E37678,,???????????????????????????,350,?????,,,
S100WOQG,2025-09-16 10:26,E00748,,????????????????,220,????????????????????????????,,,
S100WOV7,2025-09-16 10:37,E05835,,??????????,100,????????,,,
S100WOWC,2025-09-16 10:43,E03810,,????????,350,?????,,,
