ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3768.5,4270,2560.5,4144.62,4019.25,3893.87,3768.5
8309.T,3877.09,4386,2828,4258.77,4131.54,4004.32,3877.09
7182.T,1609.08,1932.5,1161.5,1851.64,1770.79,1689.93,1609.08
