ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3744.89,4270,2560.5,4138.72,4007.45,3876.17,3744.89
8309.T,3843.24,4386,2828,4250.31,4114.62,3978.93,3843.24
7182.T,1590.35,1932.5,1161.5,1846.96,1761.43,1675.89,1590.35
