ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3801.38,4586,2560.5,4389.84,4193.69,3997.53,3801.38
8309.T,3920.43,4422,2828,4296.61,4171.22,4045.82,3920.43
7182.T,1624.77,1932.5,1161.5,1855.57,1778.64,1701.7,1624.77
