ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
8316.T,4081,3769.99,4270,2560.5,4145,4020,3894.99,3769.99,T2,-1.5,RISK_ON,all_T
8309.T,4145,3879.21,4386,2828,4259.3,4132.6,4005.91,3879.21,T2,-0.3,RISK_ON,all_T
7182.T,1700.5,1610.05,1932.5,1161.5,1851.89,1771.28,1690.66,1610.05,T3,-0.6,RISK_ON,all_T
