ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3750.47,4270,2560.5,4140.12,4010.23,3880.35,3750.47
8309.T,3851.28,4386,2828,4252.32,4118.64,3984.96,3851.28
7182.T,1595.3,1932.5,1161.5,1848.2,1763.9,1679.6,1595.3
