ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3766.74,4270,2560.5,4144.19,4018.37,3892.56,3766.74
8309.T,3874.61,4386,2828,4258.15,4130.3,4002.46,3874.61
7182.T,1607.96,1932.5,1161.5,1851.36,1770.23,1689.09,1607.96
