ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
8316.T,3957,3753.58,4270,2560.5,4140.89,4011.79,3882.68,3753.58,T2,1.4,RISK_ON,all_T
8309.T,4107,3856.35,4386,2828,4253.59,4121.18,3988.76,3856.35,T2,0.3,RISK_ON,all_T
7182.T,1709,1598.27,1932.5,1161.5,1848.94,1765.38,1681.83,1598.27,T3,-1.6,RISK_ON,all_T
