ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
8316.T,3991,3751.59,4270,2560.5,4140.4,4010.79,3881.19,3751.59,T2,0.5,RISK_ON,all_T
8309.T,4127,3853.07,4386,2828,4252.77,4119.53,3986.3,3853.07,T2,-0.2,RISK_ON,all_T
7182.T,1710.5,1596.22,1932.5,1161.5,1848.43,1764.36,1680.29,1596.22,T3,-1.8,RISK_ON,all_T
