ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3755.4,4270,2560.5,4141.35,4012.7,3884.05,3755.4
8309.T,3858.6,4386,2828,4254.15,4122.3,3990.45,3858.6
7182.T,1599.4,1932.5,1161.5,1849.23,1765.95,1682.68,1599.4
