docID,submitted_at,edinet_code,ticker,filer,doc_type,doc_title,period_from,period_to,url
S100WZJW,2025-12-12 09:00,E12460,,????????????????,07A000,?????????????????????4?(2024/09/18?2025/09/16),2024-09-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100WZJW?type=5
S100XA0C,2025-12-12 09:00,E02274,77510.T,????????,170000,????????????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XA0C?type=5
S100X9DT,2025-12-12 09:00,E04149,90220.T,??????????,170000,????????????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X9DT?type=5
S100X8VJ,2025-12-12 09:00,E12481,,????????????,07A000,?????????????????????50?(2025/03/14?2025/09/16),2025-03-14,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X8VJ?type=5
S100X95J,2025-12-12 09:00,E12481,,????????????,07A000,?????????????????????44?(2025/03/18?2025/09/16),2025-03-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X95J?type=5
S100X51Q,2025-12-12 09:00,E12460,,????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X51Q?type=5
S100WZ9T,2025-12-12 09:00,E12460,,????????????????,07A000,?????????????????????6?(2025/03/19?2025/09/18),2025-03-19,2025-09-18,https://api.edinet-fsa.go.jp/api/v2/documents/S100WZ9T?type=5
S100WZJ4,2025-12-12 09:01,E12460,,????????????????,07A000,?????????????????????31?(2025/03/18?2025/09/16),2025-03-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100WZJ4?type=5
S100X6UW,2025-12-12 09:01,E06748,,????????????????,07A000,?????????????????????40?(2024/09/20?2025/09/19),2024-09-20,2025-09-19,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6UW?type=5
S100WZJ6,2025-12-12 09:01,E12460,,????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WZJ6?type=5
S100WZ9U,2025-12-12 09:02,E12460,,????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WZ9U?type=5
S100X8VK,2025-12-12 09:02,E12481,,????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X8VK?type=5
S100X95N,2025-12-12 09:03,E12481,,????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X95N?type=5
S100X6V0,2025-12-12 09:03,E06748,,????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6V0?type=5
S100X8LU,2025-12-12 09:03,E10677,,?????????????????,10A000,???????????????????2?(2025/03/15?2026/03/16),2025-03-15,2026-03-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X8LU?type=5
S100X77D,2025-12-12 09:04,E30689,,??????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X77D?type=5
S100X6OL,2025-12-12 09:04,E09096,,????????????????,07A000,?????????????????????54?(2025/03/18?2025/09/16),2025-03-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6OL?type=5
S100X9AP,2025-12-12 09:04,E10677,,?????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X9AP?type=5
S100X779,2025-12-12 09:05,E30689,,??????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X779?type=5
S100X3ME,2025-12-12 09:05,E11518,,???????????????????,10A000,???????????????????36?(2025/03/15?2026/03/16),2025-03-15,2026-03-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X3ME?type=5
S100X94J,2025-12-12 09:05,E12481,,????????????,07A000,?????????????????????5?(2025/03/18?2025/09/16),2025-03-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X94J?type=5
S100X9WL,2025-12-12 09:05,E41196,,????????????????????????????,090001,????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X9WL?type=5
S100X6V2,2025-12-12 09:05,E06748,,????????????????,07A000,?????????????????????37?(2024/09/20?2025/09/19),2024-09-20,2025-09-19,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6V2?type=5
S100X6OF,2025-12-12 09:05,E09096,,????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6OF?type=5
S100X8VT,2025-12-12 09:05,E12481,,????????????,07A000,?????????????????????20?(2024/09/14?2025/09/16),2024-09-14,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X8VT?type=5
S100WYKZ,2025-12-12 09:06,E11161,,?????????????????????,07A000,?????????????????????7?(2024/09/13?2025/09/12),2024-09-13,2025-09-12,https://api.edinet-fsa.go.jp/api/v2/documents/S100WYKZ?type=5
S100X6TF,2025-12-12 09:06,E11518,,???????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X6TF?type=5
S100X8O7,2025-12-12 09:06,E09096,,????????????????,07A000,?????????????????????54?(2025/03/18?2025/09/16),2025-03-18,2025-09-16,https://api.edinet-fsa.go.jp/api/v2/documents/S100X8O7?type=5
S100X73L,2025-12-12 09:06,E06479,,?????????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100X73L?type=5
S100WVFS,2025-12-12 09:06,E12450,,?????????????????,10A000,???????????????????7?(2025/03/14?2026/03/13),2025-03-14,2026-03-13,https://api.edinet-fsa.go.jp/api/v2/documents/S100WVFS?type=5
