ticker,MA200,YH,YL,T1,T2,T3,T4
3472.T,73893,85000,61100,82223.25,79446.5,76669.75,73893
8976.T,335364.5,391000,272000,377091.13,363182.25,349273.38,335364.5
8961.T,70596,80200,59400,77799,75398,72997,70596
3295.T,158910.5,178500,135200,173602.63,168705.25,163807.88,158910.5
3249.T,127383.5,151700,110900,145620.88,139541.75,133462.63,127383.5
8958.T,133181,150000,98700,145795.25,141590.5,137385.75,133181
