ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
3472.T,75400,73893,85000,61100,82223.25,79446.5,76669.75,73893,T3,1.7,RISK_ON,all_T
8976.T,369000,335364.5,391000,272000,377091.13,363182.25,349273.38,335364.5,T2,-1.6,RISK_ON,all_T
8961.T,76600,70596,80200,59400,77799,75398,72997,70596,T1,1.6,RISK_ON,all_T
3295.T,174900,158910.5,178500,135200,173602.63,168705.25,163807.88,158910.5,T1,-0.7,RISK_ON,all_T
3249.T,148900,127383.5,151700,110900,145620.88,139541.75,133462.63,127383.5,T1,-2.2,RISK_ON,all_T
8958.T,138900,133181,150000,98700,145795.25,141590.5,137385.75,133181,T3,-1.1,RISK_ON,all_T
