ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3760.31,4270,2560.5,4142.58,4015.16,3887.73,3760.31
8309.T,3865.51,4386,2828,4255.88,4125.75,3995.63,3865.51
7182.T,1603.06,1932.5,1161.5,1850.14,1767.78,1685.42,1603.06
