ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3763.63,4270,2560.5,4143.41,4016.81,3890.22,3763.63
8309.T,3870.13,4386,2828,4257.03,4128.07,3999.1,3870.13
7182.T,1605.59,1932.5,1161.5,1850.77,1769.05,1687.32,1605.59
