ticker,close,MA200,YH,YL,T1,T2,T3,T4,nearest,dist_pct,regime,rule
8316.T,4087,3762.04,4270,2560.5,4143.01,4016.02,3889.03,3762.04,T1,1.4,RISK_ON,all_T
8309.T,4152,3867.77,4386,2828,4256.44,4126.88,3997.33,3867.77,T2,-0.6,RISK_ON,all_T
7182.T,1731.5,1604.35,1932.5,1161.5,1850.46,1768.43,1686.39,1604.35,T2,2.1,RISK_ON,all_T
