ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3749.01,4270,2560.5,4139.75,4009.51,3879.26,3749.01
8309.T,3849.3,4386,2828,4251.83,4117.65,3983.48,3849.3
7182.T,1594.17,1932.5,1161.5,1847.92,1763.34,1678.75,1594.17
