ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3806.75,4586,2560.5,4391.19,4196.38,4001.56,3806.75
8309.T,3925.65,4422,2828,4297.91,4173.83,4049.74,3925.65
7182.T,1626.31,1932.5,1161.5,1855.95,1779.41,1702.86,1626.31
