docID,submitted_at,edinet_code,ticker,filer,doc_type,doc_title,period_from,period_to,url
S100WPU7,2025-09-26 09:00,E12448,,??????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPU7?type=5
S100WPLK,2025-09-26 09:00,E12460,,????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPLK?type=5
S100WP4J,2025-09-26 09:00,E09666,,??????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WP4J?type=5
S100WGDX,2025-09-26 09:00,E12460,,????????????????,07A000,?????????????????????24?(2025/01/07?2025/07/07),2025-01-07,2025-07-07,https://api.edinet-fsa.go.jp/api/v2/documents/S100WGDX?type=5
S100WKND,2025-09-26 09:00,E12460,,????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WKND?type=5
S100WPLJ,2025-09-26 09:00,E12460,,????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPLJ?type=5
S100WPVU,2025-09-26 09:00,E06479,,?????????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPVU?type=5
S100WQM2,2025-09-26 09:00,E12430,,????????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WQM2?type=5
S100WRFC,2025-09-26 09:01,E04674,,??????????,050000,???????65?(2025/01/01?2025/12/31),2025-01-01,2025-12-31,https://api.edinet-fsa.go.jp/api/v2/documents/S100WRFC?type=5
S100WPLI,2025-09-26 09:01,E12460,,????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPLI?type=5
S100WPLG,2025-09-26 09:01,E12460,,????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPLG?type=5
S100WGDZ,2025-09-26 09:01,E12460,,????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WGDZ?type=5
S100WQM0,2025-09-26 09:01,E12430,,????????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WQM0?type=5
S100WKNC,2025-09-26 09:01,E12460,,????????????????,07A000,?????????????????????8?(2024/07/11?2025/07/10),2024-07-11,2025-07-10,https://api.edinet-fsa.go.jp/api/v2/documents/S100WKNC?type=5
S100WP4K,2025-09-26 09:01,E09666,,??????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WP4K?type=5
S100WRCR,2025-09-26 09:02,E22024,45760.T,?????????????????????,053000,?????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WRCR?type=5
S100WPLE,2025-09-26 09:02,E12460,,????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WPLE?type=5
S100WQLX,2025-09-26 09:02,E12430,,????????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WQLX?type=5
S100WLSI,2025-09-26 09:02,E12460,,????????????????,07A000,?????????????????????29?(2024/07/12?2025/07/11),2024-07-12,2025-07-11,https://api.edinet-fsa.go.jp/api/v2/documents/S100WLSI?type=5
