ticker,MA200,YH,YL,T1,T2,T3,T4
8316.T,3774.24,4270,2560.5,4146.06,4022.12,3898.18,3774.24
8309.T,3887.01,4386,2828,4261.25,4136.5,4011.76,3887.01
7182.T,1613,1932.5,1161.5,1852.63,1772.75,1692.88,1613
